gene	annotation	no_sequences	aln_len	pos_count	pos_per_codon	mean_n_dev_pos	stdev_n_dev_pos	max_n_dev
GHKIBE_01635	twitching motility protein PilU	125	410	11	0.027	7.165	14.965	50.616
KGAFGA_00980	pilus assembly protein PilW	125	345	74	0.214	8.328	9.273	40.293
IECMBI_07970	Polysaccharide biosynthesis protein	123	493	63	0.128	8.314	9.349	39.294
LGFMJF_02480	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferasesubunit GatA	123	484	15	0.031	11.981	10.583	38.628
FLPKAP_08420	PBSX family phage terminase large subunit	125	478	31	0.065	7.338	10.515	38.072
DPNOOC_00265	IS110-like element ISNgo3 family transposase	124	345	14	0.041	8.127	10.601	37.962
JPGLBI_02635	adenylosuccinate lyase	125	457	21	0.046	5.206	9.375	37.296
CPFJAA_06515	multidrug efflux transporter outer membranesubunit MtrE	124	468	12	0.026	10.267	9.51	37.296
BFPELO_07525	Transferrin-binding protein B	118	732	236	0.322	6.49	6.6	37.296
GHKIBE_03150	transcriptional regulator	125	104	7	0.067	11.703	12.055	36.63
JDLPOL_06020	type IV pilus modification protein PilV	122	206	32	0.155	7.1	7.712	36.63
HMKGBL_03655	pretoxin	114	251	36	0.143	7.317	7.801	35.964
MCBNGC_09930	multidrug efflux RND transporter permease subunitMtrD	123	1118	118	0.106	4.603	6.544	32.966
CLFGNL_02305	exodeoxyribonuclease V subunit gamma	123	1070	36	0.034	4.693	7.92	31.968
IPDDEA_00125	Orotate phosphoribosyltransferase	125	214	4	0.019	9.046	13.982	29.97
CLFGNL_03830	Glycerate kinase	125	372	7	0.019	16.0	11.116	29.304
CEEHEF_02730	DNA gyrase subunit A	123	917	5	0.005	7.037	12.507	29.304
CJNHGO_00960	bifunctionalphosphoribosylaminoimidazolecarboxamideformyltransferase/IMP cyclohydrolase	123	527	16	0.03	4.863	7.384	29.304
AAJHJC_08755	malate:quinone oxidoreductase	125	489	8	0.016	9.227	8.455	27.972
KIIHOL_05100	putative TonB-dependent receptor NMB1497	121	923	19	0.021	9.797	7.61	27.972
FPFEIB_00830	Lactoferrin binding protein B	82	82	4	0.049	14.319	11.387	26.64
DBIOJN_08965	polyamine ABC transporter substrate-bindingprotein	125	380	21	0.055	11.015	6.492	26.64
OFCCKL_05230	multidrug efflux RND transporter periplasmicadaptor subunit MtrC	124	414	32	0.077	5.678	7.651	26.304
DDFKJF_00685	methyltransferase	125	263	14	0.053	2.307	6.892	26.196
BAEFEI_10250	Outer membrane preprotein PIIc	118	118	16	0.136	10.094	8.413	25.752
IECMBI_08305	TonB-dependent siderophore receptor	125	726	10	0.014	5.661	8.704	25.752
OIJOPB_04770	DUF455 domain-containing protein	125	276	9	0.033	7.375	8.57	25.308
DDFKJF_09575	3-oxoacyl-(Acyl-carrier-protein) synthase	125	451	32	0.071	1.377	4.327	24.864
DPNOOC_11630	fumarate hydratase	115	306	4	0.013	18.648	5.075	24.864
HJAEIG_11545	Branched-chain amino acid transport protein(AzlD)	114	103	10	0.097	6.072	7.621	24.864
FOGPJI_08660	tRNA pseudouridine(55) synthase TruB	125	307	3	0.01	13.69	10.428	24.864
MCBNGC_07020	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferasesubunit GatB	121	477	13	0.027	7.685	9.326	24.864
PNIJEF_02455	glycine cleavage system aminomethyltransferaseGcvT	125	367	9	0.025	15.848	6.929	24.864
PDBIIP_07210	type IV pilin protein	120	130	22	0.169	7.799	6.851	24.642
DCGKFM_08275	protein-L-isoaspartate O-methyltransferase	125	219	4	0.018	12.709	10.299	24.642
BFPELO_07520	TonB-dependent transferrin-binding protein TbpA	115	934	64	0.069	6.843	6.346	24.42
GHKIBE_01260	50S ribosomal protein L4	125	208	10	0.048	5.604	8.504	24.42
HEPKNL_00830	iron-sulfur cluster carrier protein ApbC	124	360	15	0.042	5.261	7.961	23.976
IECMBI_07640	aminopeptidase N	125	868	12	0.014	9.49	10.085	23.976
LKENIL_00410	molecular chaperone DnaJ	125	231	2	0.009	15.096	11.93	23.532
CLFGNL_03755	phage tail protein	121	1030	23	0.022	3.566	5.629	23.532
KGAFGA_08725	iron ABC transporter permease	125	323	8	0.025	8.575	9.108	23.088
EFAODB_06970	Type III restriction/modification enzymemethylation subunit	87	207	5	0.024	7.459	9.168	22.644
FPFEIB_07295	hint domain-/BECR-fold containing toxin	107	234	21	0.09	5.666	4.759	22.644
AAPKIE_05015	hypothetical protein	106	127	4	0.031	11.1	7.849	22.2
FDOLEH_09915	Putative sulfite reductase subunit alpha	120	239	17	0.071	2.69	5.685	22.2
HPHECO_02800	glutamine--tRNA ligase/YqeY domain fusionprotein	125	574	4	0.007	15.734	10.36	21.756
KGFFKI_05475	MBOAT family protein	125	479	7	0.015	13.923	6.182	21.756
NKPBLJ_00150	Type IV pilus assembly protein, major pilin PilA	125	163	26	0.16	5.609	5.097	21.645
BNBOEA_08100	D-lactate dehydrogenase	125	565	6	0.011	11.063	7.716	21.312
DEODPA_05230	BRO family, N-terminal domain-containing protein	125	285	24	0.084	8.019	6.59	20.979
DKMLDN_03285	Zinc metalloprotease zmpB	125	217	5	0.023	9.657	9.219	20.646
NKPBLJ_03005	Glycosyltransferase family 39 protein	125	560	5	0.009	6.571	8.181	20.646
BPBFBG_02990	LrgB family protein	125	231	5	0.022	8.614	8.864	20.646
HMKGBL_09330	CDP-diacylglycerol--glycerol-3-phosphate3-phosphatidyltransferase	125	188	1	0.005	20.646		20.646
AFIEGL_03195	Copper chaperone CopZ	125	71	1	0.014	20.646		20.646
HEPKNL_08265	baseplate protein	117	357	11	0.031	3.098	6.598	20.646
GEEBOD_08660	lytic murein transglycosylase	125	617	19	0.031	3.99	5.835	20.646
DDFKJF_01535	nicotinamidase	125	212	11	0.052	3.875	6.514	20.646
ELOKED_01415	Ribosomal RNA large subunit methyltransferase L	124	382	6	0.016	6.512	7.264	20.313
LGFMJF_08010	hypoxanthine-guanine phosphoribosyltransferase	125	188	5	0.027	8.347	8.552	20.313
DPNOOC_03645	D-alanyl-D-alaninecarboxypeptidase/D-alanyl-D-alanine-endopeptidase	125	551	23	0.042	1.66	4.094	20.313
IEGIFK_09050	2-methylcitrate synthase	125	383	8	0.021	8.38	8.209	20.313
IJDKON_06870	hypothetical protein	125	141	2	0.014	12.043	11.695	20.313
AENKPA_01930	Penicillin-binding protein 1A	125	800	3	0.004	6.993	11.535	20.313
BFPELO_00160	1-deoxy-D-xylulose-5-phosphate synthase	125	638	2	0.003	14.652	8.006	20.313
JDLPOL_06015	type II secretion system protein GspH	125	222	39	0.176	4.286	4.974	20.31
DPNOOC_00605	acyltransferase	101	624	61	0.098	3.727	4.737	19.98
NKPBLJ_09400	Membrane protein	125	227	3	0.013	9.99	9.828	19.98
KGFFKI_04830	DUF535 domain-containing protein	125	312	9	0.029	13.036	7.112	19.98
HEPKNL_01645	YgjP-like, metallopeptidase domain-containingprotein	125	230	17	0.074	3.696	5.532	19.98
KBCHFE_03285	ribonucleoside-diphosphate reductase subunitalpha	125	760	2	0.003	19.813	0.235	19.98
NKPBLJ_06405	AraR-C domain-containing protein	125	313	5	0.016	8.503	7.208	19.98
DCGKFM_08765	chaperonin GroEL	124	546	7	0.013	4.757	6.959	19.98
EHJIKO_03095	UDP-3-o	123	137	3	0.022	8.88	10.103	19.98
EHLPDB_01835	translocation/assembly module TamB	125	1390	16	0.012	3.191	5.655	19.98
GILMCH_05085	23S rRNA pseudouridine(1911/1915/1917) synthaseRluD	125	375	15	0.04	4.122	7.755	19.98
DBIOJN_00170	restriction endonuclease subunit S	125	401	2	0.005	10.046	14.05	19.98
IEGIFK_05330	16S rRNA (uracil(1498)-N(3))-methyltransferase	125	242	6	0.025	6.882	8.508	19.98
IEGIFK_05990	chromosome partitioning protein	125	311	9	0.029	2.565	6.409	19.647
GILMCH_01035	NADH-quinone oxidoreductase subunit L	125	675	12	0.018	4.394	6.611	19.647
ICENOK_07375	DUF1415 domain-containing protein	125	199	7	0.035	12.083	5.84	19.647
KIIHOL_01640	Nramp family divalent metal transporter	125	422	20	0.047	7.706	5.989	19.647
IECMBI_08825	TonB-dependent siderophore receptor	124	739	53	0.072	4.326	5.164	19.646
KBCHFE_10135	DoxX	125	150	3	0.02	6.919	10.938	19.536
FDJAIE_01375	AbgT family antimetabolite efflux transporterMtrF	121	601	21	0.035	3.668	6.572	19.314
IPDDEA_03140	Surface lipoprotein assembly modifier	123	250	10	0.04	8.081	6.496	19.314
HJAEIG_05975	polymerase	124	643	4	0.006	5.828	9.127	19.314
DFBINA_10750	iron ABC transporter substrate-binding protein	124	325	7	0.022	5.55	6.66	19.314
GILMCH_01195	Efem/EfeO family lipoprotein NMB0035	122	389	2	0.005	12.321	9.89	19.314
FDOLEH_03505	Transporter	122	186	5	0.027	4.751	8.252	19.314
ELOKED_06735	Ribosomal RNA large subunit methyltransferase E	125	207	2	0.01	12.82	9.183	19.314
IEGIFK_07015	transcriptional regulator	123	122	10	0.082	5.96	9.215	19.314
MCMGGC_05510	hypothetical protein	125	74	4	0.054	12.861	7.417	19.314
IEGIFK_00165	Outer-membrane lipoprotein LolB	125	194	4	0.021	15.429	6.507	19.314
AFIEGL_02550	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferasesubunit GatC	125	97	6	0.062	11.526	8.355	19.314
HPHECO_08380	NADH:ubiquinone reductase (Na(+)-transporting)subunit B	125	411	1	0.002	19.314		19.314
HPHECO_00305	elongation factor P maturation argininerhamnosyltransferase EarP	125	386	5	0.013	4.484	8.3	19.314
GILMCH_05750	restriction endonuclease	118	1033	8	0.008	9.227	6.472	19.314
PNIJEF_10570	DUF4124 domain-containing protein	125	143	2	0.014	15.984	4.709	19.314
PNIJEF_04335	hypothetical protein	125	165	2	0.012	15.318	5.651	19.314
ODGFBF_04245	DNA topoisomerase IV subunit A	125	768	7	0.009	8.69	6.431	19.314
BFPELO_07280	chromosome segregation protein SMC	125	1162	8	0.007	5.952	8.132	19.314
KBCHFE_03450	Acetylornithine aminotransferase	125	398	2	0.005	9.824	13.422	19.314
OIJOPB_07430	DUF454 domain-containing protein	125	120	2	0.017	9.712	13.579	19.314
KOBKIE_03885	glycosyltransferase	74	350	28	0.08	4.365	5.696	19.314
GILMCH_02570	Type II methyltransferase M-NgoPII	125	331	4	0.012	4.995	9.546	19.314
GGPHLK_09395	DUF1304 domain-containing protein	125	123	10	0.081	10.889	4.496	19.092
GHKIBE_05840	peptidylprolyl isomerase	125	186	3	0.016	13.764	5.923	18.981
HJAEIG_06135	Na+/H+ antiporter NhaC	125	460	2	0.004	9.823	12.951	18.981
DNHNFJ_09010	iron transporter	125	252	21	0.083	1.929	4.251	18.981
AAJHJC_05725	AsmA family protein	125	702	8	0.011	4.731	6.817	18.981
DBIOJN_06595	50S ribosomal protein L2	125	278	2	0.007	12.543	9.105	18.981
IECMBI_04270	segregation/condensation protein A	125	285	4	0.014	5.328	9.111	18.981
IPDDEA_06780	Membrane protein	125	474	1	0.002	18.981		18.981
GHKIBE_02320	DNA ligase	125	275	6	0.022	3.607	7.55	18.981
GPNLAD_07830	molybdenum cofactor guanylyltransferase	125	206	3	0.015	7.252	10.238	18.981
LCAGDG_07065	RNA helicase	125	474	34	0.072	2.503	3.19	18.974
ELOKED_01745	ABC transporter permease	124	230	6	0.026	7.992	6.73	18.648
AKOKMM_03640	type IV pilus biogenesis protein PilP	124	183	3	0.016	9.657	8.829	18.648
IEGIFK_01320	Putative Nus factor SuhB	125	262	2	0.008	11.266	10.439	18.648
PNIJEF_07210	4-hydroxy-3-methylbut-2-enyl diphosphatereductase	125	323	7	0.022	9.863	5.409	18.648
DDFKJF_02070	50S ribosomal protein L23	125	105	5	0.048	8.836	7.006	18.648
GGPHLK_00025	sigma-54-dependent Fis family transcriptionalregulator	125	426	2	0.005	9.657	12.715	18.648
FOGPJI_07190	Xanthine/uracil permease	118	362	7	0.019	3.631	6.859	18.648
DFBINA_02575	ferrochelatase	125	337	2	0.006	12.654	8.477	18.648
GHKIBE_01265	50S ribosomal protein L3	125	226	11	0.049	3.764	7.046	18.648
DFBINA_11095	2-oxoglutarate/malate translocator	118	162	4	0.025	5.078	9.049	18.647
NADGGK_03390	EtfB protein	125	250	2	0.008	12.82	7.77	18.315
CLFGNL_03175	excinuclease ABC subunit UvrA	121	951	20	0.021	2.281	5.212	18.315
NNPMCJ_08930	Sulfatase	112	563	48	0.085	1.258	2.787	18.315
MPNNBP_00440	transporter	125	197	1	0.005	18.315		18.315
HEEDGJ_09795	ribonuclease R	125	792	18	0.023	3.805	6.852	18.315
CEEHEF_08370	signal recognition particle-docking protein FtsY	124	421	4	0.01	6.299	8.208	18.314
FLPKAP_10630	CDP-6-deoxy-delta-3,4-glucoseen reductase	124	337	9	0.027	3.318	6.366	18.314
DFBINA_01550	SAM-dependent methyltransferase TehB	125	285	1	0.004	18.204		18.204
LKENIL_01720	Sulfite reductase beta subunit	125	466	4	0.009	7.631	8.557	17.982
FOGPJI_00610	UDP-N-acetylgalactosaminyltransferase	125	414	10	0.024	5.95	5.529	17.982
DNHNFJ_04415	Methyltransferase domain protein	125	262	7	0.027	2.807	6.695	17.982
DCGKFM_09105	tRNA uridine-5-carboxymethylaminomethyl(34)synthesis enzyme MnmG	125	634	14	0.022	4.21	5.36	17.982
GBEPFH_01255	phosphoserine phosphatase SerB	124	278	2	0.007	11.488	9.183	17.982
DCGKFM_04290	DNA helicase Rep	124	836	5	0.006	3.929	7.857	17.982
DCBGBN_04085	isoleucine--tRNA ligase	123	930	14	0.015	5.13	4.594	17.982
PNIJEF_05865	trimeric porin PorB	116	359	63	0.175	4.108	5.009	17.982
DBIOJN_01640	Crispr-associated protein	124	181	3	0.017	17.871	0.192	17.982
AAJHJC_08240	NADH-quinone oxidoreductase subunit NuoH	125	359	4	0.011	4.662	8.732	17.76
DFBINA_03410	pilus assembly protein PilX	124	204	24	0.118	6.378	5.546	17.649
CPFJAA_02545	50S ribosomal protein L25/general stress proteinCtc	125	191	1	0.005	17.649		17.649
DCBGBN_10580	glycine cleavage system protein GcvH	125	129	1	0.008	17.649		17.649
LKENIL_06215	lipid asymmetry maintenance ABC transporterpermease subunit MlaE	125	259	1	0.004	17.649		17.649
LOGDOA_06370	Dihydropteroate synthase	125	285	18	0.063	2.843	4.485	17.649
DBIOJN_04700	hypothetical protein	123	73	1	0.014	17.647		17.647
CEMIJF_00280	Bcr/CflA family drug resistance effluxtransporter	86	375	15	0.04	6.865	5.625	17.316
FDOLEH_10235	Sulfate ABC transporter substrate-bindingprotein	125	118	3	0.025	10.989	9.282	17.316
NKPBLJ_09235	carboxymuconolactone decarboxylase familyprotein	125	183	15	0.082	1.376	4.412	17.315
HCCGLM_08810	hypothetical protein	123	155	2	0.013	8.935	11.381	16.983
CEMIJF_03800	sodium-dependent transporter	125	529	12	0.023	1.776	4.796	16.983
PNIJEF_00440	FAD-linked oxidase	122	1278	11	0.009	8.305	6.233	16.983
OPCPNN_06105	restriction endonuclease subunit S	124	420	6	0.014	6.678	5.667	16.983
LKENIL_00735	ribonucleotide-diphosphate reductase subunitbeta	125	385	3	0.008	6.031	9.495	16.983
IPDDEA_05760	terminase	119	492	23	0.047	3.706	3.961	16.983
